Company name,ASX code,GICS industry group
"DCA GROUP LIMITED",DVC,"Health Care Equipment & Services"
"DCS TECHNOLOGIES LIMITED",DCS,"Technology Hardware & Equipment"
"DE GREY MINING LIMITED",DEG,"Materials"
"DEAKIN FINANCIAL SERVICES GROUP LIMITED",DKN,"Diversified Financials"
"DEEP SEA FISHERIES LIMITED",DSF,"Food Beverage & Tobacco"
"DEEP YELLOW LIMITED",DYL,"Materials"
"DEEPGREEN MINERALS CORPORATION LIMITED",DGM,"Materials"
"DENX LIMITED",DNX,"Health Care Equipment & Services"
"DESANE GROUP HOLDINGS LIMITED",DGH,"Real Estate"
"DESTRA CORPORATION LIMITED",DES,"Software & Services"
"DEUTSCHE AUSGLEICHSBANK",DTA,"GICS Sector Code Not Applicable"
"DEUTSCHE BANK AG",DBA,"GICS Sector Code Not Applicable"
"DEUTSCHE DIVERSIFIED TRUST",DDF,"Real Estate"
"DEUTSCHE INDUSTRIAL TRUST",DIT,"Real Estate"
"DEUTSCHE OFFICE TRUST",DOT,"Real Estate"
"DEUTSCHE POSTBANK AG",DSL,"GICS Sector Code Not Applicable"
"DEUTSCHE RETAIL INFRASTRUCTURE TRUST",DRI,"Real Estate"
"DEVINE LIMITED",DVN,"Real Estate"
"DEXIA MUNICIPAL AGENCY",DXA,"GICS Sector Code Not Applicable"
"DIAMOND ROSE NL",DRN,"Materials"
"DIAMOND VENTURES NL",DDV,"Materials"
"DIDASKO LIMITED",DID,"Software & Services"
"DIGITAL NOW INC",DNI,"Technology Hardware & Equipment"
"DIORO EXPLORATION NL",DIO,"Materials"
"DIVERSIFIED UNITED INVESTMENT LIMITED",DUI,"Diversified Financials"
"DJERRIWARRH INVESTMENTS LIMITED",DJW,"Diversified Financials"
"DOLOMATRIX INTERNATIONAL LIMITED",DMX,"Commercial Services & Supplies"
"DOMINION MINING LIMITED",DOM,"Materials"
"DOWNER EDI LIMITED",DOW,"Commercial Services & Supplies"
"DRAGON MINING NL",DRA,"Materials"
"DRILLSEARCH ENERGY LIMITED",DLS,"Energy"
"DROMANA ESTATE LIMITED",DMY,"Food Beverage & Tobacco"
"DSG AUSTRALIA LTD",DSG,"Technology Hardware & Equipment"
"DURBAN ROODEPOORT DEEP, LIMITED",DRD,"Materials"
"DWYKA DIAMONDS LIMITED",DWY,"Materials"
"E-COM MULTI LIMITED",ECE,"Software & Services"
"EAGLE BAY RESOURCES NL",EBR,"Energy"
"EARTH SANCTUARIES LIMITED",ESL,"Hotels Restaurants & Leisure"
"EAST AFRICAN COFFEE PLANTATIONS LIMITED",EAC,"Food Beverage & Tobacco"
"EAST COAST MINERALS NL",ECM,"Materials"
"EASTERN CORPORATION LIMITED",ECU,"Materials"
"EASTERN STAR GAS LIMITED",ESG,"Energy"
"EASTLAND MEDICAL SYSTEMS LTD",EMS,"Health Care Equipment & Services"
"EASYCALL INTERNATIONAL LIMITED",EZY,"Telecommunication Services"
"EBET LIMITED",EBT,"Hotels Restaurants & Leisure"
"ECHO TECHNOLOGIES LIMITED",EHO,"Software & Services"
"ECSI LIMITED",ECS,"Commercial Services & Supplies"
"EGLOBAL INTERNATIONAL LIMITED",EGI,"Software & Services"
"EIFFEL TECHNOLOGIES LIMITED",EIF,"Pharmaceuticals & Biotechnology"
"EKSPORTFINANS ASA",EKS,"GICS Sector Code Not Applicable"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED",EOS,"Capital Goods"
"ELECTROMETALS TECHNOLOGIES LIMITED",EMM,"Capital Goods"
"ELECTRONIC TRANSACTION TECHNOLOGY LIMITED",ETT,"Technology Hardware & Equipment"
"ELKEDRA DIAMONDS NL",EDN,"Materials"
"ELLENDALE RESOURCES NL",ELL,"Materials"
"ELLEX MEDICAL LASERS LIMITED",ELX,"Health Care Equipment & Services"
"EMBELTON LIMITED",EMB,"Capital Goods"
"EMITCH LIMITED",EMI,"Media"
"EMPEROR MINES LIMITED",EMP,"Materials"
"EMPIRE OIL & GAS NL",EGO,"Energy"
"ENERGY DEVELOPMENTS LIMITED",ENE,"Utilities"
"ENERGY RESOURCES OF AUSTRALIA LIMITED",ERA,"Materials"
"ENERGY WORLD CORPORATION LTD",EWC,"Utilities"
"ENTERTAINMENT MEDIA & TELECOMS CORPORATION LIMITED",ETC,"Telecommunication Services"
"ENTERTAINMENT WORLD LIMITED",EWL,"Commercial Services & Supplies"
"ENVESTRA LIMITED",ENV,"Utilities"
"ENVIROMISSION LIMITED",EVM,"Utilities"
"ENVIRONMENTAL GROUP LIMITED (THE)",EGL,"Capital Goods"
"ENVIRONMENTAL INFRASTRUCTURE LIMITED",EIL,"Commercial Services & Supplies"
"ENVIRONMENTAL RECOVERY SERVICES LIMITED",ERS,"Commercial Services & Supplies"
"ENVIRONMENTAL SOLUTIONS INTERNATIONAL LIMITED",ESI,"Commercial Services & Supplies"
"EPITAN LIMITED",EPT,"Pharmaceuticals & Biotechnology"
"EQITX LIMITED",EQX,"Pharmaceuticals & Biotechnology"
"EQUATORIAL MINING LIMITED",EQM,"Materials"
"EQUIGOLD NL",EQI,"Materials"
"EQUINOX RESOURCES LIMITED",EQR,"Materials"
"EQUITILINK ELINK LIMITED",EKL,"Diversified Financials"
"EQUITY 1 RESOURCES NL",EIR,"Materials"
"EQUITY LONG / SHORT STRATEGIES FUND (THE)",ELS,"GICS Sector Code Not Applicable"
"EQUITY TRUSTEES LIMITED",EQT,"Diversified Financials"
"EQUS LIMITED",EQS,"Software & Services"
"ERAWAN COMPANY LIMITED",EWN,"Capital Goods"
"ERG LIMITED",ERG,"Technology Hardware & Equipment"
"EROMANGA HYDROCARBONS NL",ERH,"Energy"
"ESERVGLOBAL LIMITED",ESV,"Software & Services"
"ESPERANCE MINERALS NL",ESM,"Energy"
"ESSENTIAL PETROLEUM RESOURCES LIMITED",EPR,"Energy"
"ESTAR ONLINE TRADING LIMITED",EST,"Diversified Financials"
"ETICK LIMITED",ETK,"Software & Services"
"ETRADE AUSTRALIA LIMITED",ETR,"Diversified Financials"
"EUMUNDI BREWING GROUP LIMITED",EBG,"Food Beverage & Tobacco"
"EURAUST LTD",EUR,"Hotels Restaurants & Leisure"
"EUROGOLD LIMITED",EUG,"Materials"
"EUROZ LIMITED",EZL,"Diversified Financials"
"EVANS & TATE LIMITED",ETW,"Food Beverage & Tobacco"
"EXCO RESOURCES NL",EXS,"Materials"
"EXTRACT RESOURCES LTD",EXT,"Food Beverage & Tobacco"
"EZENET LIMITED",EZE,"Software & Services"
"EZYIMAGE LIMITED",EZI,"Commercial Services & Supplies"
"FAIRFAX (JOHN) HOLDINGS LIMITED",FXJ,"Media"
"FALCON MINERALS LIMITED",FCN,"Materials"
"FANTASTIC HOLDINGS LIMITED",FAN,"Retailing"
"FARM PRIDE FOODS LIMITED",FRM,"Food Beverage & Tobacco"
"FARNELL & THOMAS LIMITED",FRT,"Capital Goods"
"FASHION INTIMATES LIMITED",FIL,"Retailing"
"FAST SCOUT LIMITED",FSL,"Software & Services"
"FEDERATION GROUP LIMITED",FDR,"Capital Goods"
"FFI HOLDINGS LIMITED",FFI,"Food Beverage & Tobacco"
"FIDUCIAN PORTFOLIO SERVICES LIMITED",FPS,"Diversified Financials"
"FINANCIAL RESOURCES LIMITED",FRL,"Diversified Financials"
"FINBAR INTERNATIONAL LIMITED",FRI,"Real Estate"
"FIRST AUSTRALIAN RESOURCES LIMITED",FAR,"Energy"
"FIRST WINE FUND LIMITED",FWF,"GICS Sector Code Not Applicable"
"FISHER & PAYKEL APPLIANCES HOLDINGS LIMITED",FPA,"Consumer Durables & Apparel"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED",FPH,"Health Care Equipment & Services"
"FKP LIMITED",FKP,"Real Estate"
"FLEETWOOD CORPORATION LIMITED",FWD,"Consumer Durables & Apparel"
"FLETCHER BUILDING LIMITED",FBU,"Materials"
"FLETCHER CHALLENGE FORESTS LIMITED",FFS,"Materials"
"FLEXI PROPERTY FUND",FPF,"Real Estate"
"FLIGHT CENTRE LIMITED",FLT,"Hotels Restaurants & Leisure"
"FLINDERS DIAMONDS LIMITED",FDL,"Materials"
"FLOWCOM LIMITED",FLO,"Telecommunication Services"
"FOLKESTONE LIMITED",FLK,"Real Estate"
"FOODLAND ASSOCIATED LIMITED",FOA,"Food & Staples Retailing"
"FOREST ENTERPRISES AUSTRALIA LIMITED",FEA,"Materials"
"FOREST PLACE GROUP LIMITED",FPG,"Real Estate"
"FORTESCUE METAL GROUP LTD",FMG,"Materials"
"FOSTER'S GROUP LIMITED",FGL,"Food Beverage & Tobacco"
"FOX RESOURCES LIMITED",FXR,"Materials"
"FREEDOM GROUP LIMITED",FFL,"Retailing"
"FREIGHT LINKS EXPRESS HOLDINGS (AUSTRALIA) LIMITED",FLE,"Real Estate"
"FSA GROUP LIMITED",FSA,"Diversified Financials"
"FTR HOLDINGS LIMITED",FTR,"Software & Services"
"FUNTASTIC LIMITED",FUN,"Consumer Durables & Apparel"
"FUTURE CORPORATION AUSTRALIA LIMITED",FUT,"Telecommunication Services"
"FUTURIS CORPORATION LIMITED",FCL,"Food Beverage & Tobacco"
"G.U.D. HOLDINGS LIMITED",GUD,"Consumer Durables & Apparel"
"GALE PACIFIC LIMITED",GAP,"Consumer Durables & Apparel"
"GALLERY GLOBAL NETWORKS LIMITED",GBN,"Retailing"
"GALLERY GOLD LIMITED",GGN,"Materials"
"GAMING & ENTERTAINMENT GROUP LIMITED",GAM,"Software & Services"
"GARRATT'S LIMITED",GRT,"Diversified Financials"
"GARRISONS ACCOUNTING GROUP LIMITED",GAR,"Commercial Services & Supplies"
"GASNET AUSTRALIA GROUP",GAS,"Utilities"
"GATEWAY MINING NL",GML,"Materials"
"GAZAL CORPORATION LIMITED",GZL,"Consumer Durables & Apparel"
"GE CAPITAL AUSTRALIA FUNDING PTY LIMITED",GEA,"GICS Sector Code Not Applicable"
"GEC ASIAN VALUE FUND",GCA,"GICS Sector Code Not Applicable"
"GEC AUSTRALIAN HEALTHCARE FUND",GCH,"GICS Sector Code Not Applicable"
"GEC EUROGROWTH FUND",GCE,"GICS Sector Code Not Applicable"
"GENERAL PROPERTY TRUST",GPT,"Real Estate"
"GENERAL PUBLISHERS LIMITED",GEP,"Media"
"GENESIS BIOMEDICAL LIMITED",GBL,"Pharmaceuticals & Biotechnology"
"GENESIS RESEARCH AND DEVELOPMENT CORPORATION LIMITED",GEN,"Pharmaceuticals & Biotechnology"
"GENETIC TECHNOLOGIES LIMITED",GTG,"Pharmaceuticals & Biotechnology"
"GEO2 LIMITED",GEL,"Commercial Services & Supplies"
"GEODYNAMICS LIMITED",GDY,"Utilities"
"GES INTERNATIONAL LIMITED",GEE,"Technology Hardware & Equipment"
"GIANTS REEF MINING LIMITED",GTM,"Materials"
"GINDALBIE GOLD NL",GBG,"Materials"
"GIPPSLAND LIMITED",GIP,"Materials"
"GIRALIA RESOURCES NL",GIR,"Materials"
"GLENEAGLE GOLD LIMITED",GLN,"Materials"
"GLENGARRY RESOURCES LIMITED",GGY,"Materials"
"GLOBAL PETROLEUM LIMITED",GBP,"Energy"
"GLOBAL SEAFOOD AUSTRALIA LIMITED",GSF,"Food Beverage & Tobacco"
"GLOBE INTERNATIONAL LIMITED",GLB,"Consumer Durables & Apparel"
"GLOBE SECURITIES LIMITED",GTI,"Materials"
"GLOUCESTER COAL LTD",GCL,"Materials"
"GME RESOURCES LIMITED",GME,"Materials"
"GOCONNECT LIMITED",GCN,"Software & Services"
"GOLD AURA LIMITED",GOA,"Materials"
"GOLD BULLION LIMITED",GOL,"Materials"
"GOLDEN CROSS RESOURCES LTD",GCR,"Materials"
"GOLDEN DEEPS LIMITED.",GED,"Materials"
"GOLDEN GATE PETROLEUM LTD",GGP,"Materials"
"GOLDEN STATE RESOURCES LIMITED",GDN,"Materials"
"GOLDEN VALLEY MINES LIMITED",GVM,"Materials"
"GOLDSEARCH LIMITED",GSE,"Materials"
"GOLDSTREAM MINING NL",GDM,"Materials"
"GONDWANA RESOURCES LIMITED",GDA,"Materials"
"GOWING BROS LIMITED",GOW,"Diversified Financials"
"GOWINGS RETAIL LIMITED",GBR,"Retailing"
"GOWIT LIMITED",GOI,"Software & Services"
"GPS ONLINE LIMITED",GPO,"Telecommunication Services"
"GPT SPLIT TRUST",GST,"Real Estate"
"GRADIPORE LIMITED",GDP,"Pharmaceuticals & Biotechnology"
"GRAINCORP LIMITED",GNC,"Food Beverage & Tobacco"
"GRAND HOTEL GROUP",GHG,"Real Estate"
"GRANDBRIDGE LIMITED",GBA,"Diversified Financials"
"GRANGE RESOURCES LIMITED.",GRR,"Materials"
"GRAVITY CAPITAL LIMITED",GRN,"Materials"
"GRD NL",GRD,"Materials"
"GREAT ARTESIAN OIL & GAS LIMITED",GOG,"Energy"
"GREAT PACIFIC CAPITAL LIMITED",GRP,"Diversified Financials"
"GREAT SOUTHERN PLANTATIONS LIMITED",GTP,"Materials"
"GREATER PACIFIC GOLD LIMITED",GPN,"Materials"
"GREEN PACIFIC ENERGY LIMITED",GPE,"Utilities"
"GREEN'S FOODS LIMITED",GFD,"Food Beverage & Tobacco"
"GREENVALE MINING NL",GRV,"Energy"
"GREGORY INDUSTRIES LIMITED",GIL,"Commercial Services & Supplies"
"GRIBBLES GROUP LIMITED (THE)",GGL,"Health Care Equipment & Services"
"GROPEP LIMITED",GRO,"Pharmaceuticals & Biotechnology"
"GTN RESOURCES LIMITED",GTN,"Materials"
"GUINNESS PEAT GROUP PLC.",GPG,"Capital Goods"
"GULLEWA LIMITED",GUL,"Materials"
"GUNNS LIMITED",GNS,"Materials"
"GUNSON RESOURCES LIMITED",GUN,"Materials"
"GUTNICK RESOURCES NL",GKR,"Materials"
"GWA INTERNATIONAL LIMITED",GWT,"Capital Goods"
"GYMPIE GOLD LIMITED",GYM,"Materials"
"HADDINGTON RESOURCES LIMITED",HDN,"Materials"
"HALCYON GROUP LTD",HCY,"Software & Services"
"HALLMARK CONSOLIDATED LIMITED",HLM,"Materials"
"HAMILTON ISLAND LIMITED",HAM,"Hotels Restaurants & Leisure"
"HAMPTON HILL MINING NL",HHM,"Materials"
"HANSEN TECHNOLOGIES LIMITED",HSN,"Software & Services"
"HANSON PLC.",HAN,"Materials"
"HAOMA MINING NL",HAO,"Materials"
"HARBOUR CAPITAL LIMITED",HBR,"Diversified Financials"
"HARDMAN RESOURCES LIMITED",HDR,"Energy"
"HARRINGTON GROUP LIMITED",HGR,"Food Beverage & Tobacco"
"HARTEC LIMITED",HRT,"Technology Hardware & Equipment"
"HARTLEYS LIMITED.",HPL,"Diversified Financials"
"HARVESTROAD LIMITED",HRD,"Software & Services"
"HARVEY NORMAN HOLDINGS LIMITED",HVN,"Retailing"
"HARVEY WORLD TRAVEL LIMITED",HWT,"Hotels Restaurants & Leisure"
"HAVILAH RESOURCES NL",HAV,"Materials"
"HEALTH COMMUNICATION NETWORK LIMITED",HCN,"Health Care Equipment & Services"
"HEALTHPOINT TECHNOLOGIES LIMITED",HLT,"Health Care Equipment & Services"
"HEALTHSCOPE LIMITED",HSP,"Health Care Equipment & Services"
"HEAT EXCHANGERS INTERNATIONAL LIMITED",HEI,"Capital Goods"
"HEGGIES BULKHAUL LIMITED",HBL,"Transportation"
"HELIX RESOURCES LIMITED",HLX,"Materials"
"HENRY WALKER ELTIN GROUP LIMITED",HWE,"Capital Goods"
"HERALD RESOURCES LIMITED",HER,"Materials"
"HERITAGE GOLD NZ LIMITED",HTM,"Materials"
"HERON RESOURCES LIMITED",HRR,"Materials"
"HGL LIMITED",HNG,"Capital Goods"
"HIGHLANDS PACIFIC LIMITED",HIG,"Materials"
"HILL END GOLD LIMITED",HEG,"Materials"
"HILLCREST RESOURCES LIMITED",HLL,"Materials"
"HILLGROVE GOLD LIMITED",HGO,"Materials"
"HILLS INDUSTRIES LIMITED",HIL,"Capital Goods"
"HILLS MOTORWAY GROUP",HLY,"Transportation"
"HIRE INTELLIGENCE INTERNATIONAL LIMITED",HII,"Commercial Services & Supplies"
"HITEC ENERGY LIMITED",HTE,"Materials"
"HITECH GROUP AUSTRALIA LIMITED",HIT,"Commercial Services & Supplies"
"HJ&B GROUP LIMITED",HJB,"Commercial Services & Supplies"
"HOME BUILDING SOCIETY LIMITED",HME,"Banks"
"HOMELEISURE LIMITED",HLD,"Retailing"
"HOMELOANS LIMITED",HOM,"Banks"
"HORIZON ENERGY INVESTMENT GROUP",HRZ,"Utilities"
"HORIZON GLOBAL LIMITED",HZG,"Software & Services"
"HORIZON OIL NL",HZN,"Energy"
"HOSTWORKS GROUP LIMITED",HWG,"Software & Services"
"HOUSEWARES INTERNATIONAL LIMITED",HWI,"Retailing"
"HPAL LIMITED",HPX,"Software & Services"
"HUADU CITY DEVELOPMENTS LIMITED",HCD,"Transportation"
"HUDSON INVESTMENT GROUP LIMITED",HGL,"Capital Goods"
"HUDSON RESOURCES LIMITED",HRS,"Materials"
"HUDSON SECURITIES CORPORATION LIMITED",HSC,"Diversified Financials"
"HUDSON TIMBER PRODUCTS LIMITED",HTL,"Capital Goods"
"HUGALL & HOILE LIMITED",HUG,"Capital Goods"
"HUNTER HALL INTERNATIONAL LIMITED",HHL,"Diversified Financials"
"HUNTLEY INVESTMENT COMPANY LIMITED",HIC,"Diversified Financials"
"HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED",HTA,"Telecommunication Services"
"HWW LIMITED",HWW,"Media"
"HYDRO-ELECTRIC CORPORATION",XTA,"GICS Sector Code Not Applicable"
"HYDROMET CORPORATION LIMITED",HMC,"Commercial Services & Supplies"
"HYRO LIMITED",HYO,"Media"
"I.T.& E LIMITED",ITE,"Software & Services"
"IASBET LIMITED",IAS,"Hotels Restaurants & Leisure"
"IATIA LIMITED",IAT,"Health Care Equipment & Services"
"IBA HEALTH LIMITED",IBA,"Health Care Equipment & Services"
"ICE CORPORATION LIMITED",ICE,"Capital Goods"
"ICON ENERGY LIMITED",ICN,"Energy"
"ICSGLOBAL LIMITED",ICS,"Health Care Equipment & Services"
"IDEAS INTERNATIONAL LIMITED",IDE,"Software & Services"
"IINET LIMITED",IIN,"Software & Services"
"ILUKA RESOURCES LIMITED",ILU,"Materials"
"IMAGE RESOURCES NL",IMA,"Materials"
"IMDEX LIMITED",IMD,"Materials"
"IMF (AUSTRALIA) LTD",IMF,"Diversified Financials"
"IMPERIAL ONE LIMITED",IMP,"Materials"
"IMPRESS VENTURES LIMITED",ITC,"Software & Services"
"IMT HOLDINGS LIMITED",IMH,"Commercial Services & Supplies"
"IMUGENE LIMITED",IMU,"Capital Goods"
"INCITEC PIVOT LIMITED",IPL,"Materials"
"INDCOR LIMITED",ICO,"Materials"
"INDEPENDENCE GOLD NL",IGO,"Materials"
"INDEPENDENT PRACTITIONER NETWORK LTD",IPN,"Health Care Equipment & Services"
"INDOPHIL RESOURCES NL",IRN,"Materials"
"INFOCHOICE LIMITED",ICH,"Media"
"INFOMEDIA LTD",IFM,"Software & Services"
"INFOSENTIALS LIMITED",INF,"Media"
"ING INDUSTRIAL FUND",IIF,"Real Estate"
"ING OFFICE FUND",IOF,"Real Estate"
"INNOVONICS LIMITED",INO,"Software & Services"
"INOVAX LIMITED",INX,"Pharmaceuticals & Biotechnology"
"INSTITUTE OF DRUG TECHNOLOGY AUSTRALIA LIMITED",IDT,"Pharmaceuticals & Biotechnology"
"INSURANCE AUSTRALIA GROUP LIMITED",IAG,"Insurance"
"INSURANCE MY WAY LIMITED",IMW,"Insurance"
"INTEC LTD",INL,"Materials"
"INTEGRA MEDICAL IMAGING LIMITED",IMI,"Health Care Equipment & Services"
"INTEGRATED GROUP LIMITED",IWF,"Commercial Services & Supplies"
"INTEGRATED INVESTMENT GROUP LIMITED",IIG,"Commercial Services & Supplies"
"INTEGRATED RESEARCH LIMITED",IRI,"Software & Services"
"INTELLECT HOLDINGS LIMITED",IHG,"Technology Hardware & Equipment"
"INTER-AMERICAN DEVELOPMENT BANK",IDB,"GICS Sector Code Not Applicable"
"INTERCARD WIRELESS LIMITED",ITN,"Technology Hardware & Equipment"
"INTERMIN RESOURCES LIMITED",IRC,"Materials"
"INTERMOCO LIMITED",INT,"Technology Hardware & Equipment"
"INTERNATIONAL CONCERT ATTRACTIONS LIMITED",ICP,"Media"
"INTERNATIONAL EQUITIES CORPORATION LIMITED.",IEQ,"Real Estate"
"INTERNATIONAL GOLDFIELDS LIMITED.",IGL,"Materials"
"INTERNATIONAL WINE INVESTMENT FUND (THE)",IWI,"Diversified Financials"
"INTEROIL CORPORATION",IOC,"Energy"
"INTERSTAR MILLENIUM SERIES 2003-4 TRUST",IMY,"Classification Pending"
"INTERSTAR MILLENNIUM SERIES 2001-2 TRUST",IMS,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2002-1G TRUST",IMG,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2002-2 TRUST",IME,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2003 - 1G TRUST",IMT,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2003-2 TRUST",IMV,"GICS Sector Code Not Applicable"
"INTERSTAR MILLENNIUM SERIES 2003-3G TRUST",IMX,"GICS Sector Code Not Applicable"
"INVESTA PROPERTY GROUP",IPG,"Real Estate"
"INVESTIKA LIMITED",IVK,"Software & Services"
"INVESTMENT AUSTASIA LIMITED",IAL,"Commercial Services & Supplies"
"INVESTMENT COMPANY OF THE WEST LIMITED",ICW,"Diversified Financials"
"INVESTOR GROUP LIMITED",IGP,"Diversified Financials"
"INVESTORINFO LIMITED",INV,"Media"
"ION LIMITED",ION,"Automobile & Components"
"IRESS MARKET TECHNOLOGY LIMITED",IRE,"Software & Services"
"IRONBARK CAPITAL LIMITED",IBC,"Diversified Financials"
"IVANHOE MINES LTD.",IVN,"Materials"
"IWL LIMITED",IWL,"Software & Services"
"IXLA LIMITED",IXL,"Software & Services"
"J B WERE CAPITAL MARKETS LIMITED",JCM,"Diversified Financials"
"JACKSON GOLD LIMITED",JAK,"Materials"
"JACOBSEN ENTERTAINMENT LIMITED",JEL,"Media"
"JAM DEVELOPMENT CAPITAL LIMITED",JAM,"Diversified Financials"
"JAMES FIELDING GROUP",JFG,"Real Estate"
"JAMES HARDIE INDUSTRIES N.V.",JHX,"Materials"
"JERVOIS MINING LIMITED",JRV,"Materials"
"JETSET TRAVELWORLD LTD",JET,"Hotels Restaurants & Leisure"
"JF MERIDIAN TRUST",JFM,"Real Estate"
"JINDALEE RESOURCES LIMITED",JRL,"Materials"
"JOHN HANCOCK GLOBAL FUNDING LIMITED",JHF,"GICS Sector Code Not Applicable"
"JOHN SHEARER (HOLDINGS) LIMITED",SHR,"Capital Goods"
"JOHNSON'S WELL MINING NL",JWM,"Materials"
"JOYCE CORPORATION LIMITED",JYC,"Capital Goods"
"JUBILEE MINES NL",JBM,"Materials"
"JULIA ROSS RECRUITMENT LIMITED",JRR,"Commercial Services & Supplies"
"JUMBO CORPORATION LIMITED",JUM,"Retailing"
"JUPITERS LIMITED.",JUP,"Hotels Restaurants & Leisure"
"K & S CORPORATION LIMITED",KSC,"Transportation"
"KAEFER TECHNOLOGIES LIMITED",KAE,"Capital Goods"
"KAGARA ZINC LIMITED",KZL,"Materials"
"KALREZ ENERGY LIMITED",KRZ,"Energy"
"KANOWNA CONSOLIDATED GOLD MINES LIMITED",KCG,"Materials"
"KANOWNA LIGHTS LIMITED",KLS,"Materials"
"KAZ GROUP LIMITED",KAZ,"Software & Services"
"KEITH HARRIS & COMPANY LIMITED",HAK,"Food Beverage & Tobacco"
"KEY2 LIMITED",KET,"Software & Services"
"KEYCORP LIMITED",KYC,"Technology Hardware & Equipment"
"KFW INTERNATIONAL FINANCE INC",KFW,"GICS Sector Code Not Applicable"
"KIMBERLEY DIAMOND COMPANY NL.",KIM,"Materials"
"KIMBERLEY OIL NL",KBO,"Energy"
"KIMBERLEY SECURITIES LIMITED",KBS,"Real Estate"
"KINGS MINERALS NL",KMN,"Materials"
"KINGSGATE CONSOLIDATED LIMITED.",KCN,"Materials"
"KIP MCGRATH EDUCATION CENTRES LIMITED",KME,"Commercial Services & Supplies"
"KLM GROUP LTD",KLM,"Technology Hardware & Equipment"
"KNIGHTS INSOLVENCY ADMINISTRATION LIMITED",KIA,"Diversified Financials"
"KOALA CORPORATION AUSTRALIA LIMITED",KLA,"Hotels Restaurants & Leisure"
"KOON HOLDINGS LIMITED",KNH,"Capital Goods"
"KORVEST LIMITED",KOV,"Capital Goods"
"KRESTA HOLDINGS LIMITED",KRS,"Consumer Durables & Apparel"
"LAFAYETTE MINING LIMITED",LAF,"Materials"
"LAKE RESOURCES N.L.",LKE,"Materials"
"LAKE TECHNOLOGY LIMITED",LAK,"Technology Hardware & Equipment"
"LAKES OIL NL",LKO,"Energy"
"LANDESBANK BADEN-WURTTEMBERG",LBW,"GICS Sector Code Not Applicable"
"LASSETERS CORPORATION LIMITED",LAS,"Hotels Restaurants & Leisure"
"LATROBE MAGNESIUM LIMITED",LMG,"Materials"
"LAVERTON GOLD NL",LVG,"Materials"
"LEGALCO LIMITED",LCO,"Commercial Services & Supplies"
"LEGEND MINING LIMITED",LEG,"Materials"
"LEIGHTON HOLDINGS LIMITED",LEI,"Capital Goods"
"LEMARNE CORPORATION LIMITED",LMC,"Capital Goods"
"LEMVEST LIMITED",LEV,"Capital Goods"
"LEND LEASE CORPORATION LIMITED",LLC,"Real Estate"
"LEND LEASE US OFFICE TRUST",LUO,"Real Estate"
"LEYSHON RESOURCES LIMITED",LRL,"Materials"
"LIGHTING CORPORATION LIMITED",LCL,"Capital Goods"
"LIHIR GOLD LIMITED",LHG,"Materials"
"LINDEN & CONWAY LIMITED",LDN,"Retailing"
"LINDSAY AUSTRALIA LIMITED",LAU,"Transportation"
"LION EQUITIES LIMITED",LEL,"Real Estate"
"LION NATHAN LIMITED",LNN,"Food Beverage & Tobacco"
"LION SELECTION GROUP LIMITED",LSG,"Materials"
"LIONORE MINING INTERNATIONAL LIMITED.",LIM,"Materials"
"LODESTONE EXPLORATION LIMITED",LOD,"Materials"
"LOFTUS CAPITAL PARTNERS LIMITED",LCP,"Diversified Financials"
"LONDON CITY EQUITIES LIMITED",LCE,"Diversified Financials"
"LONGREACH OIL LIMITED",LGO,"Energy"
"LOOKSMART LIMITED",LOK,"Software & Services"
"LOWAN AUSTRALIA LIMITED",LAL,"Food Beverage & Tobacco"
"LUDOWICI LIMITED",LDW,"Capital Goods"
"LUMACOM LIMITED",LUM,"Technology Hardware & Equipment"
"LYNAS CORPORATION LIMITED",LYC,"Materials"
"M2M CORPORATION LIMITED",MCL,"Software & Services"
"MACARTHUR COAL LIMITED",MCC,"Materials"
"MACARTHUR DIAMONDS LIMITED",MDD,"Classification Pending"
"MACARTHURCOOK LIMITED",MCK,"Real Estate"
"MACKAY PERMANENT BUILDING SOCIETY LIMITED",MPB,"Banks"
"MACMAHON HOLDINGS LIMITED",MAH,"Capital Goods"
"MACMIN SILVER LTD",MMN,"Materials"
"MACQUARIE AIRPORTS",MAP,"Transportation"
"MACQUARIE BANK LIMITED",MBL,"Diversified Financials"
"MACQUARIE COMMUNICATIONS INFRASTRUCTURE GROUP",MCG,"Media"
"MACQUARIE CORPORATE TELECOMMUNICATIONS HOLDINGS LIMITED",MAQ,"Telecommunication Services"
"MACQUARIE COUNTRYWIDE TRUST",MCW,"Real Estate"
"MACQUARIE GOODMAN CAPITAL TRUST",MGA,"Real Estate"
"MACQUARIE GOODMAN INDUSTRIAL TRUST",MGI,"Real Estate"
"MACQUARIE GOODMAN MANAGEMENT LIMITED",MGM,"Real Estate"
"MACQUARIE INFRASTRUCTURE GROUP",MIG,"Transportation"
