ASX Warrants Market as at 02/09/2004 17:01:31
CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
BHPXMS,Barrier Put.,13.8677,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXMT,Barrier Put.,14.3677,11/11/2004,1.0,European,MACQUARIE,COR,11/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOD,Barrier Call.,11.36,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOE,Barrier Call.,11.86,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $10.50 to $12.00 on 7/7/04.
BHPXOF,Barrier Call.,12.11,23/09/2004,1.0,European,CITIWARRANTS,COR,15/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. 
BHPXOG,Barrier Call.,10.99,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOH,Barrier Call.,12.49,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOS,Barrier Put.,13.61,23/09/2004,1.0,European,CITIWARRANTS,COR,15/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $13.25 to $13.75 on 3/8/04.
BHPXOT,Barrier Put.,13.50,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOU,Barrier Put.,14.00,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXOV,Barrier Put.,14.25,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSA,Barrier Call.,10.24,23/09/2004,1.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSB,Barrier Call.,10.74,23/09/2004,1.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSC,Barrier Call.,11.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSD,Barrier Call.,11.50,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSE,Barrier Call.,12.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSQ,Barrier Put.,13.76,23/09/2004,1.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSR,Barrier Put.,14.51,23/09/2004,1.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSS,Barrier Put.,14.25,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXST,Barrier Put.,14.75,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BHPXSU,Barrier Put.,15.25,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILDMP,Instalment High Geared,6.00,23/03/2005,1.0,American,MACQUARIE,COR,03/09/2004,10,Trading deferred settlement until 16/9/04. Normal T+3 trading commences 17/9/04.
BILECE,Endowment,6.238,18/08/2006,1.0,European,CREDIT SUISS,COR,14/02/1996,5,The Underlying Parcel is 4.1287 BIL shares
BILEMF,Endowment,20.172,31/10/2008,1.0,European,MACQUARIE,COR,28/08/1997,4,The Underlying Parcel is 4.1287 BIL shares
BILEMG,Endowment,25.684,16/02/2009,1.0,European,MACQUARIE,COR,17/08/1998,2,The Underlying Parcel is 4.1287 BIL shares
BILIDA,Instalment Regular Rolling,3.85,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
BILIDH,Instalment High Geared Rolling,5.50,15/06/2005,1.0,European,DEUTSCHE,COR,20/05/2002,10,
BILIGF,Instalment Regular Rolling,3.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
BILIMC,Instalment Regular Rolling,3.50,20/05/2005,1.0,American,MACQUARIE,COR,09/05/2002,10,
BILIMD,Instalment High Geared Rolling,4.75,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
BILIMF,Instalment Regular Rolling,3.00,18/11/2004,1.0,American,MACQUARIE,COR,10/12/2001,10,
BILIMG,Instalment High Geared Rolling,4.00,18/11/2004,1.0,American,MACQUARIE,COR,07/11/2002,10,
BILIMP,Instalment High Geared,6.00,23/03/2005,1.0,American,MACQUARIE,COR,17/09/2004,10,
BILIMZ,Instalment High Geared,5.00,23/12/2004,1.0,American,MACQUARIE,COR,25/06/2004,10,
BILIOC,Instalment Regular Normal,3.00,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,
BILIOE,Instalment High Geared,4.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
BILIOI,Instalment Regular Normal,3.50,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
BILIPB,Instalment High Geared,9.00,23/09/2004,1.0,American,BNP PARIBAS,COR,26/07/2001,1,
BILISG,Rolling Reset Instalment,3.50,23/06/2005,1.0,American,UBS,COR,27/09/2002,10,The Barrier Level is $3.85
BILISR,Instalment High Geared,5.00,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,
BILISS,Instalment High Geared Rolling,4.50,25/11/2004,1.0,American,UBS,COR,18/09/2002,10,
BILIWF,Instalment High Geared,4.25,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,
BILIWG,Instalment Regular Rolling,3.75,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
BILIWH,Instalment High Geared Rolling,4.75,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
BILIYB,Instalment Regular Normal,7.25,26/05/2005,1.0,American,COMM BANK,COR,29/04/2002,10,
BILIYE,Instalment Regular Normal,3.75,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
BILIZM,Instalment High Geared,5.00,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
BILIZO,Instalment Regular Normal,2.75,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,2,
BILIZQ,Instalment Regular Rolling,3.25,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
BILWMF,Equity Call,6.50,28/10/2004,3.0,European,MACQUARIE,COR,28/06/2004,20,
BILWMG,Equity Call,7.25,23/12/2004,3.0,European,MACQUARIE,COR,06/09/2004,20,
BILWMS,Equity Put,6.00,28/10/2004,3.0,European,MACQUARIE,COR,28/06/2004,20,
BILWMT,Equity Put,6.50,23/12/2004,3.0,European,MACQUARIE,COR,06/09/2004,20,
BILWOA,Equity Call,7.00,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
BILWOL,Equity Call,6.25,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,Ex Price amended from $5.75 to $6.25 on 17/6/04.
BILWOM,Equity Call,6.00,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
BILWON,Equity Call,6.50,23/09/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
BILWOO,Equity Call,6.50,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
BILWOW,Equity Put,5.25,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
BILWOX,Equity Put,6.00,23/09/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
BILWOY,Equity Put,5.75,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,
BILWOZ,Equity Put,6.00,23/12/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,Ex Price amended from $6.25 to $6.00 on 20/7/04.
BILWZE,Equity Call,6.50,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,
BILWZS,Equity Put,5.50,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,
BILXDA,Barrier Call.,4.90,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXDB,Barrier Call.,5.75,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price & Barrier Level amended from $4.65 to $5.75 on 28/6/04.
BILXDD,Barrier Call.,5.20,23/09/2004,1.0,European,DEUTSCHE,COR,31/05/2004,3,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXDE,Barrier Call.,5.75,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,7,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXDF,Barrier Call.,5.50,23/03/2005,1.0,European,DEUTSCHE,COR,30/08/2004,7,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXMA,Barrier Call.,5.50,09/09/2004,1.0,European,MACQUARIE,COR,12/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXSA,Barrier Call.,5.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXSB,Barrier Call.,5.25,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BILXSQ,Barrier Put.,8.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $7.00 to $8.00 on 1/9/04.
BLDIDH,Instalment High Geared Rolling,5.50,15/06/2005,1.0,European,DEUTSCHE,COR,23/07/2003,10,
BLDIYE,Instalment Regular Normal,4.00,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
BLDWMB,Equity Call,7.25,23/09/2004,3.0,European,MACQUARIE,COR,04/06/2004,20,Ex Price amended from $6.25 to $7.25 on 10/8/04.
BLDXOA,Barrier Call.,6.50,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $5.34 to $6.50 on 31/8/04.
BOBECE,Basket Endowment,2.6828,18/08/2006,1.0,European,CREDIT SUISS,E&Y,14/02/1996,30,The Underlying Parcel is 0.5 BLD and 0.5 ORG shares
BOBEMF,Basket Endowment,3.035,30/06/2008,1.0,European,MACQUARIE,E&Y,28/08/1997,4,The Underlying Parcel is 0.5 BLD and 0.5 ORG shares
BOBEMG,Basket Endowment,1.79,16/02/2009,1.0,European,MACQUARIE,E&Y,17/08/1998,2,The Underlying Parcel is 0.5 BLD and 0.5 ORG shares
BOQIMR,Instalment High Geared,6.00,23/06/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
BOQIZQ,Instalment Regular Rolling,6.00,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
BPCIMU,Instalment High Geared,0.55,23/12/2004,1.0,American,MACQUARIE,COR,30/01/2004,15,
BPCIMV,Instalment High Geared,0.45,23/03/2005,1.0,American,MACQUARIE,COR,14/04/2004,6,
BSLIMC,Instalment Regular Rolling,4.00,20/05/2005,1.0,American,MACQUARIE,COR,05/05/2003,10,
BSLIMF,Instalment Regular Rolling,3.25,18/11/2004,1.0,American,MACQUARIE,COR,07/11/2002,10,
BSLIMG,Instalment High Geared Rolling,4.50,18/11/2004,1.0,American,MACQUARIE,COR,11/11/2003,10,
BSLIMO,Instalment Regular Normal,4.25,22/12/2005,1.0,American,MACQUARIE,COR,02/07/2004,10,
BSLIMY,Instalment High Geared,4.00,23/09/2004,1.0,American,MACQUARIE,COR,18/05/2004,10,
BSLIMZ,Instalment High Geared,6.00,23/12/2004,1.0,American,MACQUARIE,COR,02/08/2004,10,
BSLIOC,Instalment Regular Normal,2.25,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,
BSLIOI,Instalment Regular Normal,4.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
BSLISG,Rolling Reset Instalment,4.75,23/06/2005,1.0,American,UBS,COR,27/09/2002,10,The Barrier Level is $5.225. Ex Price amended from $3.00 to $4.75 and Barrier Level from $3.30 to $5.225 on 2/8/04. 
BSLISR,Instalment High Geared,6.50,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,Ex Price amended from $5.75 to $5.25 on 10/5/04 and to $6.50 on 2/8/04.
BSLIYE,Instalment Regular Normal,3.50,25/09/2006,1.0,American,COMM BANK,COR,30/09/2003,10,
BSLIZM,Instalment High Geared,5.50,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
BSLIZO,Instalment Regular Normal,2.75,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,2,
BSLIZQ,Instalment Regular Rolling,3.75,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
BSLSWA,Self Funding Instalments,3.0984,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $2.8769 to $3.0984 on 30/6/04.
BSLWMC,Equity Call,6.50,23/09/2004,3.0,European,MACQUARIE,COR,30/04/2004,15,
BSLWMD,Equity Call,7.50,25/11/2004,3.0,European,MACQUARIE,COR,23/07/2004,15,
BSLWMP,Equity Put,7.50,23/09/2004,3.0,European,MACQUARIE,COR,28/06/2004,15,Exercise Price amended from $6.00 to $6.75 on 19/7/04 and to $7.50 on 16/8/04.
BSLWMQ,Equity Put,7.00,25/11/2004,3.0,European,MACQUARIE,COR,16/08/2004,15,
BSLWOE,Equity Call,5.25,23/09/2004,3.0,European,CITIWARRANTS,COR,10/03/2004,30,
BSLWOG,Equity Call,6.50,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
BSLWOH,Equity Call,7.50,23/03/2005,3.0,European,CITIWARRANTS,COR,13/08/2004,30,
BSLWOI,Equity Call,8.00,23/03/2005,3.0,European,CITIWARRANTS,COR,13/08/2004,30,
BSLWOR,Equity Put,5.75,23/09/2004,3.0,European,CITIWARRANTS,COR,04/05/2004,30,
BSLWOS,Equity Put,7.50,23/09/2004,3.0,European,CITIWARRANTS,COR,15/07/2004,30,Ex Price amended from $6.50 to $6.75 on 20/7/04 and to $7.50 on 26/8/04.
BSLWSA,Equity Call,7.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
BSLWSB,Equity Call,7.50,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
BSLWSP,Equity Put,7.50,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
BSLWSQ,Equity Put,8.00,24/02/2005,4.0,European,UBS,COR,02/09/2004,30,
BSLWZA,Equity Call,8.00,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,Ex Price amended from $6.00 to $8.00 on 4/8/04.
BSLWZP,Equity Put,6.00,22/12/2004,2.0,American,ABN AMRO,ADR,02/07/2004,2,
BSLXDA,Barrier Call.,5.13,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXDB,Barrier Call.,4.38,23/09/2004,1.0,European,DEUTSCHE,COR,23/02/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXDD,Barrier Call.,5.50,23/09/2004,1.0,European,DEUTSCHE,COR,31/05/2004,3,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXDE,Barrier Call.,7.00,23/09/2004,1.0,European,DEUTSCHE,COR,22/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXDF,Barrier Call.,6.50,23/09/2004,1.0,European,DEUTSCHE,COR,22/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXDU,Barrier Put.,8.25,02/09/2004,1.0,European,DEUTSCHE,COR,30/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXOB,Barrier Call.,6.75,23/09/2004,1.0,European,CITIWARRANTS,COR,04/06/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $5.25 to $5.75 on 11/6/04 and to $6.50 on 19/7/04 and to $5.75 on 20/7/04 and to $6.75 on 19/8/04.
BSLXOC,Barrier Call.,7.25,23/03/2005,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXOR,Barrier Put.,7.78,23/09/2004,1.0,European,CITIWARRANTS,COR,15/07/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Exercise Price & Barrier Level amended from $7.25 to $7.50 on 19/7/04 and to $8.50 on 23/7/04 and to $7.78 on 3/9/04.
BSLXOT,Barrier Put.,8.28,02/09/2004,1.0,European,CITIWARRANTS,COR,24/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXSA,Barrier Call.,6.00,23/09/2004,1.0,European,UBS,COR,31/03/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched. Ex Price and Barrier Level amended from $5.00 to $6.00 on 2/8/04.
BSLXSB,Barrier Call.,6.50,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXSC,Barrier Call.,7.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXSQ,Barrier Put.,8.75,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
BSLXSR,Barrier Put.,9.00,24/02/2005,1.0,European,UBS,COR,31/08/2004,10,Barrier = Exercise warrant. Terminates early if the barrier is touched.
CBADSU,Instalment High Geared,28.00,24/02/2005,1.0,American,UBS,COR,02/09/2004,10,Trading deferred settlement until 15/9/04. Normal T+3 trading commences 16/9/04.
CBAECE,Endowment,2.617,18/08/2006,1.0,European,CREDIT SUISS,COR,14/02/1996,20,
CBAEEA,Endowment,17.7036,15/02/2012,1.0,American,CHALLENGER,COR,22/08/2001,0.75,
CBAEMF,Endowment,7.474,31/10/2008,1.0,European,MACQUARIE,COR,28/08/1997,5,
CBAEMG,Endowment,9.64,16/02/2009,1.0,European,MACQUARIE,COR,17/08/1998,2,
CBAIDA,Instalment Regular Rolling,19.00,15/06/2005,1.0,European,DEUTSCHE,COR,10/04/2000,10,
CBAIDH,Instalment High Geared Rolling,31.00,15/06/2005,1.0,European,DEUTSCHE,COR,24/04/2001,10,
CBAIGF,Instalment Regular Rolling,18.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
CBAIGJ,Instalment High Geared Rolling,27.00,17/11/2004,1.0,European,SG AUST,ADR,16/12/2002,5,
CBAIMA,Instalment High Geared,28.00,28/10/2004,1.0,American,MACQUARIE,COR,16/08/2004,10,
CBAIMB,Instalment High Geared,30.00,23/09/2004,1.0,American,MACQUARIE,COR,16/07/2004,10,
CBAIMC,Instalment Regular Rolling,20.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
CBAIMD,Instalment High Geared Rolling,28.00,20/05/2005,1.0,American,MACQUARIE,COR,19/03/2001,10,
CBAIMF,Instalment Regular Rolling,19.00,18/11/2004,1.0,American,MACQUARIE,COR,10/12/2001,10,
CBAIMG,Instalment High Geared Rolling,25.00,18/11/2004,1.0,American,MACQUARIE,COR,29/08/2001,10,
CBAIMN,Instalment High Geared,20.00,29/09/2005,1.0,American,MACQUARIE,COR,09/06/2004,10,
CBAIMS,Instalment High Geared,29.00,23/09/2004,1.0,American,MACQUARIE,COR,25/06/2004,10,
CBAIMV,Instalment High Geared,26.00,23/09/2004,1.0,American,MACQUARIE,COR,21/01/2004,10,Ex Price amended from $25.00 to $26.00 on 22/1/04
CBAIMY,Instalment High Geared,32.00,23/09/2004,1.0,American,MACQUARIE,COR,25/06/2004,10,
CBAIMZ,Instalment High Geared,28.00,23/12/2004,1.0,American,MACQUARIE,COR,16/07/2004,10,
CBAIOC,Instalment Regular Normal,18.00,23/06/2005,1.0,American,CITIWARRANTS,COR,21/05/2003,10,
CBAIOE,Instalment High Geared,28.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
CBAIOI,Instalment Regular Normal,21.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
CBAIOJ,Instalment High Geared,26.00,18/11/2004,1.0,American,CITIWARRANTS,COR,18/11/2003,10,
CBAIOL,Instalment Regular Normal,20.00,29/04/2005,1.0,American,CITIWARRANTS,COR,24/03/2004,10,
CBAIPB,Instalment High Geared,25.00,23/09/2004,1.0,American,BNP PARIBAS,COR,26/07/2001,1,Ex Price amended from $27.00 to $25.00 on 24/9/01
CBAISA,Instalment High Geared Rolling,30.00,25/11/2004,1.0,American,UBS,COR,15/07/2003,10,Ex Price amended from $28.00 to $30.00 on 7/5/04.
CBAISG,Rolling Reset Instalment,20.00,23/06/2005,1.0,American,UBS,COR,27/09/2002,10,The Barrier Level is $22.00
CBAISH,Rolling Reset Instalment,18.00,25/11/2004,1.0,American,UBS,COR,29/11/2002,10,The Barrier Level is $19.80
CBAISR,Instalment High Geared,29.50,17/05/2005,1.0,American,UBS,COR,03/06/2004,10,
CBAISS,Instalment High Geared Rolling,26.00,25/11/2004,1.0,American,UBS,COR,18/09/2002,10,Ex Price amended from $27.50 to $26.00 on 7/5/04.
CBAISU,Instalment High Geared,28.00,24/02/2005,1.0,American,UBS,COR,16/09/2004,10,
CBAIWE,Instalment Regular Normal,18.50,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,
CBAIWF,Instalment High Geared,22.00,25/05/2005,1.0,American,WESTPAC,COR,28/05/2003,10,
CBAIWG,Instalment Regular Rolling,21.50,06/12/2004,1.0,European,WESTPAC,COR,18/12/2003,10,
CBAIWH,Instalment High Geared Rolling,27.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
CBAIWI,Instalment Regular Rolling,18.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
CBAIWJ,Instalment High Geared Rolling,24.50,06/12/2004,1.0,European,WESTPAC,COR,06/01/2004,10,
CBAIWX,Instalment High Geared,28.00,23/09/2004,1.0,American,WESTPAC,COR,27/11/2003,10,
CBAIZK,Instalment High Geared,24.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
CBAIZL,Instalment High Geared,27.00,20/01/2005,1.0,American,ABN AMRO,ADR,09/01/2004,1,
CBAIZM,Instalment High Geared,30.00,28/07/2005,1.0,American,ABN AMRO,ADR,01/07/2004,1,
CBAIZN,Instalment High Geared,29.00,23/09/2004,1.0,American,ABN AMRO,ADR,01/07/2004,1,
CBAIZO,Instalment Regular Normal,16.00,15/06/2005,1.0,American,ABN AMRO,ADR,12/09/2003,2,
CBAIZQ,Instalment Regular Rolling,18.50,02/12/2005,1.0,American,ABN AMRO,ADR,03/05/2004,1,
CBASMS,Self Funding Instalments,14.4805,30/06/2008,1.0,American,MACQUARIE,COR,01/08/2003,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $15.52 to $14.4805 on 16/8/04.
CBASMT,Self Funding Instalments,15.4039,30/06/2009,1.0,American,MACQUARIE,COR,09/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $16.444 to $15.4039 on 16/8/04.
CBASWA,Self Funding Instalments,18.2762,30/06/2009,1.0,European,WESTPAC,COR,16/02/2004,10,Dividends paid on the underlying security will be used to reduce the Loan Amount (i.e. Exercise Price); effective from the ex-dividend date of the underlying security. The Loan Amount was amended from $19.386 to $18.2762 on 16/8/04.
CBAWMI,Equity Call,34.00,23/09/2004,5.0,European,MACQUARIE,COR,04/06/2004,20,
CBAWMJ,Equity Call,32.00,23/09/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
CBAWMK,Equity Call,32.50,25/11/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
CBAWML,Equity Call,31.50,25/11/2004,5.0,European,MACQUARIE,COR,16/08/2004,20,
CBAWMP,Equity Put,32.00,23/09/2004,5.0,European,MACQUARIE,COR,04/06/2004,20,
CBAWMQ,Equity Put,31.50,23/09/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
CBAWMR,Equity Put,30.00,23/09/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
CBAWMS,Equity Put,31.00,25/11/2004,5.0,European,MACQUARIE,COR,23/07/2004,20,
CBAWMT,Equity Put,29.50,25/11/2004,5.0,European,MACQUARIE,COR,16/08/2004,20,
CBAWMV,Equity Put,35.00,23/12/2004,1.0,European,MACQUARIE,COR,06/09/2004,5,
CBAWMZ,Equity Put,37.00,23/09/2004,1.0,European,MACQUARIE,COR,06/05/2004,5,
CBAWOA,Equity Call,33.00,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,
CBAWOB,Equity Call,30.00,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $34.50 to $30.00 on 26/8/04.
CBAWOC,Equity Call,31.00,25/11/2004,4.0,European,CITIWARRANTS,COR,13/08/2004,40,Ex Price amended from $32.00 to $31.00 on 26/8/04.
CBAWON,Equity Call,33.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,Ex Price amended from $31.50 to $33.50 on 26/5/04.
CBAWOO,Equity Call,32.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
CBAWOP,Equity Put,30.00,23/09/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $32.00 to $31.00 on 6/8/04 and to $30.00 on 26/8/04.
CBAWOQ,Equity Put,28.00,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $31.50 to $28.00 on 22/7/04.
CBAWOR,Equity Put,30.00,23/12/2004,5.0,European,CITIWARRANTS,COR,15/07/2004,50,Ex Price amended from $33.00 to $30.00 on 20/7/04.
CBAWOS,Equity Put,29.00,25/11/2004,4.0,European,CITIWARRANTS,COR,13/08/2004,40,
CBAWOY,Equity Put,29.50,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,
CBAWOZ,Equity Put,29.00,23/09/2004,5.0,European,CITIWARRANTS,COR,04/05/2004,50,Ex Price amended from $30.50 to $29.00 on 26/8/04.
CBAWSA,Equity Call,32.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
CBAWSB,Equity Call,29.00,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
CBAWSC,Equity Call,30.00,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
CBAWSD,Equity Call,31.00,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
CBAWSN,Equity Call,30.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
CBAWSO,Equity Call,31.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
CBAWSP,Equity Put,32.50,23/09/2004,5.0,European,UBS,COR,03/05/2004,30,
CBAWSQ,Equity Put,29.00,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
CBAWSR,Equity Put,30.00,24/02/2005,5.0,European,UBS,COR,02/09/2004,30,
